id,slug,name,url,tags,supportedNetworks
cyber-swap,cyber-swap,CyberSwap,https://cyberswap.cc/trade/swap,,cyber
cygnus-finance,cygnus-finance,Cygnus Finance,https://www.cygnus.finance/,,"base, b2"
dackie-swap,dackie-swap,DackieSwap,https://www.dackieswap.xyz/,decentralized-exchange,"base, blast"
daily-meme,daily-meme,Daily Meme,https://www.dailymeme.io/,,zero
Daimo,Daimo,Daimo,https://daimo.com/,,base
DAO-Maker,DAO-Maker,DAO Maker,https://daomaker.com/,,ethereum
dappmon,dappmon,Dappmon,https://play.dappmon.xyz/,gaming,base
dappnode,dappnode,Dappnode,https://dappnode.com/,,ethereum
dapp-radar,dapp-radar,Dapp Radar,https://dappradar.com/,,ethereum
datamine-network,datamine-network,Datamine Network,https://datamine-crypto.github.io/realtime-decentralized-dashboard/#,,arbitrum
data-ownership-protocol,data-ownership-protocol,Data Ownership Protocol,https://dop.org/,,ethereum
davos,davos,Davos,https://davos.xyz/,"liquid-staking, stablecoin","arbitrum, ethereum"
Daxio,Daxio,Daxio,https://daxio.com/index,,ethereum
db-xen,db-xen,DBXen,https://dbxen.org/,,"optimism, ethereum, base"
debank-hi,debank-hi,DeBank Hi,https://debank.com/hi,,"ethereum, optimism"
debridge,debridge,deBridge,https://debridge.finance/,,"ethereum, polygon, base"
deca,deca,Deca,https://deca.art/,nft-marketplace,ethereum
decent,decent,Decent,https://decent.xyz/,,"mode, mantle, base, optimism, arbitrum, zora, binance-smart-chain, opbnb, ethereum, polygon, blast, zksync"
defi,defi,De.Fi,https://de.fi/,asset-management,ethereum
defibox,defibox,Defibox,https://defibox.io/,,binance-smart-chain
defiedge,defiedge,Defiedge,https://app.defiedge.io/,"asset-management, fund-manager, liquidity-pool, liquid-staking, limit-order","ethereum, binance-smart-chain, polygon, optimism, base, arbitrum"
definer,definer,DeFiner,https://definer.org/,,ethereum
definitive,definitive,DEFINITIVE,https://www.definitive.fi/,,arbitrum
definix,definix,Definix,https://definix.com/en,,binance-smart-chain
defiplaza,defiplaza,DefiPlaza,https://defiplaza.net/,decentralized-exchange,ethereum
defisaver,defisaver,DefiSaver,https://defisaver.com/,lending,ethereum
defi-swap,defi-swap,DeFi Swap,https://crypto.com/defi/swap/,liquidity-pool,ethereum
defrag,defrag,Defrag,https://defrag.fi/,nft-lending,arbitrum
degen,degen,Degen Airdrop,https://www.degen.tips/,,"base, degen"
degentips,degentips,Degen Bridge,https://bridge.degen.tips/,bridge,"degen, base, arbitrum"
degen-names,degen-names,Degen Names,https://degenname.lol/#/,,degen
degen-radio,degen-radio,Degen Radio,https://degenradio.lol/,,degen
degen-swap,degen-swap,DegenSwap,https://www.swapdegen.tips/,decentralized-exchange,degen
Degen-Zoo,Degen-Zoo,Degen Zoo,https://www.degenzoo.co/,,ethereum
degods,degods,DeGods Staking,https://degods.com/,,ethereum
delegate-cash,delegate-cash,Delegate Cash,https://delegate.cash/,infrastructure,"ethereum, base"
deltaprime,deltaprime,DeltaPrime,https://x.com/DeltaPrimeDefi,,"avalanche, arbitrum"
depay,depay,DePay,https://depay.com/,,optimism
deq-fi,deq-fi,deq.fi,https://deq.fi/,,ethereum
derivadex,derivadex,DerivaDEX,https://derivadex.com/,derivatives,ethereum
DerpDEX,DerpDEX,DerpDEX,https://derpdex.com/,,base
de-syn,de-syn,DeSyn Protocol,https://www.desyn.io/#/,,mode
dfi-money,dfi-money,Dfi Money,https://dfi.money/,asset-management,ethereum
dforce,dforce,dForce,https://dforce.network/,yield-aggregator,"ethereum, arbitrum, base"
dfx,dfx,DFX,https://exchange.dfx.finance/,"decentralized-exchange, liquidity-pool, stablecoin","polygon, ethereum"
dfyn,dfyn,Dfyn,https://dfyn.network/,liquidity-pool,polygon
dhedge,dhedge,dHedge,https://www.dhedge.org/,asset-management,"ethereum, optimism"
dhedge-v2,dhedge-v2,dHEDGE V2,https://www.dhedge.org/,asset-management,"base, optimism, polygon, arbitrum"
DIA,DIA,DIA,https://www.diadata.org/,,"base, arbitrum"
Diamondswap,Diamondswap,Diamondswap,https://diamondswap.org/,,base
cask-protocol,cask-protocol,DigiCask,https://www.digicask.finance/,payments,"arbitrum, avalanche, fantom, polygon, optimism, celo, binance-smart-chain, gnosis"
digi-toads,digi-toads,DigiToads,https://digitoads.world/,gaming,ethereum
dimensionals,dimensionals,Dimensionals,https://www.dimensionals.com/,nft-marketplace,ethereum
dimension-x,dimension-x,Dimension X,https://dimensionxnft.com/,gaming,ethereum
din,din,DIN,https://din.lol/,,opbnb
dinari,dinari,Dinari,https://dinari.com/?restricted_country=1,,arbitrum
dinero,dinero,Dinero,https://dineroismoney.com/,liquid-staking,ethereum
dino,dino,Dino LFG,https://dinolfg.com/,,ethereum
dip-exchange,dip-exchange,Dip Exchange,https://dip.exchange/#/,decentralized-exchange,base
disperse,disperse,Disperse.app,https://disperse.app/,infrastructure,"base, ethereum"
distracted-dudes,distracted-dudes,Distracted Dudes,https://www.distracteddudes.xyz/,,base
districtone,districtone,DistrictOne,https://districtone.io/,,blast
diva,diva,Diva,https://staking.foundation/,liquid-staking,ethereum
DLN,DLN,DLN,https://dln.trade/,,"optimism, base, ethereum, arbitrum"
Dmail-Network,Dmail-Network,Dmail Network,https://dmail.ai/,,"base, b2"
dodo,dodo,Dodo,https://dodoex.io/,"liquidity-pool, decentralized-exchange","arbitrum, zero, ethereum, binance-smart-chain, base, polygon"
dogliens,dogliens,Dogliens,https://www.dogliens.com/,,ethereum
dolomite,dolomite,Dolomite,https://dolomite.io/,"lending, liquidity-pool","mantle, arbitrum"
DOLZ-io,DOLZ-io,DOLZ.io,https://dolz.io/,,"ethereum, polygon"
doodles,doodles,Doodles,https://home.doodles.app/,nft-marketplace,ethereum
dopex,dopex,Dopex,https://dopex.io/,options,arbitrum
dot,dot,Dot,https://dot.fan/,,base
draft-shares,draft-shares,Draft Shares,https://draftshares.io/,gaming,base
drops,drops,Drops,https://drops.co/,nft-lending,ethereum
DRΞAMBYT3,DRΞAMBYT3,DRΞAMBYT3,https://dreambyt3.com/ethereum,,ethereum
duo-exchange,duo-exchange,Duo Exchange,https://www.duo.exchange/,,blast
dx-swap,dx-swap,DXswap,https://dxdao.eth.link/,decentralized-exchange,"ethereum, gnosis"
dydx,dydx,dYdX,https://dydx.exchange/,perpetuals-exchange,ethereum
dyorswap,dyorswap,Dyorswap,https://dyorswap.finance/,decentralized-exchange,"blast, worldchain"
dypius,dypius,Dypius,https://www.dypius.com/,,ethereum
dystopia,dystopia,Dystopia,https://www.dystopia.exchange/,"decentralized-exchange, liquidity-pool",polygon
earncaster,earncaster,Earncaster,https://earncaster.com/,,base
ease,ease,Ease,https://ease.org/,"insurance, yield-aggregator",ethereum
ebtcfinance,ebtcfinance,eBTC Finance,https://www.ebtc.finance/,lending,ethereum
ecosapiens,ecosapiens,Ecosapiens,https://www.ecosapiens.xyz/,nft-marketplace,ethereum
eden,eden,Eden,https://www.edennetwork.io/,decentralized-exchange,ethereum
ethereum-follow-protocol,ethereum-follow-protocol,EFP,https://ethfollow.xyz/,,"optimism, base, ethereum"
eggfam,eggfam,EGGFAM,https://eggfam.lol/,gaming,arbitrum
eggs,eggs,Eggs,https://eggs.care/,"gaming, farming",ethereum
eigen-layer,eigen-layer,Eigen Layer,https://www.eigenlayer.xyz/,liquid-staking,ethereum
eigenpie,eigenpie,Eigenpie,https://www.eigenlayer.magpiexyz.io/,,"ethereum, arbitrum"
ekos-genesis-collection,ekos-genesis-collection,Ekos Genesis Collection,https://www.ekos.io,nft-marketplace,ethereum
element-marketplace,element-marketplace,Element,https://element.market/ethereum,nft-marketplace,"opbnb, blast, base, arbitrum, zksync, optimism, ethereum"
element,element,Element Finance,https://www.element.fi/,lending,ethereum
checks-elements-auction,checks-elements-auction,Elements Auction,https://elements.checks.art/,nft-marketplace,ethereum
elixir,elixir,Elixir,https://elixir.finance/,,"arbitrum, ethereum"
elkfinance,elkfinance,Elk Finance,https://elk.finance/,"bridge, farming, liquidity-pool",fantom
ellipsis,ellipsis,Ellipsis,https://ellipsis.finance/,liquidity-pool,binance-smart-chain
endaoment,endaoment,Endaoment,https://endaoment.org/,,ethereum
enigmaeconomy,enigmaeconomy,Enigma Economy,https://side.xyz/enigmaeconomy,staking,ethereum
enjinstarter,enjinstarter,Enjinstarter,https://enjinstarter.com/,launchpad,binance-smart-chain
enki,enki,ENKI,https://www.enkixyz.com/home,,metis
ens,ens,ENS,https://ens.domains/,infrastructure,ethereum
ensuro,ensuro,Ensuro,https://ensuro.co/,,polygon
entangle,entangle,Entangle,entangle.fi,,
enzyme-finance,enzyme-finance,Enzyme Finance,https://enzyme.finance/,asset-management,ethereum
epoch-island,epoch-island,Epoch Island,https://epochisland.io/,,arbitrum
epsylon,epsylon,Epsylon,https://x.com/epsylon_finance,,fantom
equalizer,equalizer,Equalizer,https://equalizer.exchange/,decentralized-exchange,"base, fantom"
Equation-DAO,Equation-DAO,Equation DAO,https://equation.org/,,arbitrum
equation-v2,equation-v2,Equation V2,https://equation.trade/,,arbitrum
equilibria,equilibria,Equilibria,https://equilibria.fi/,farming,"ethereum, binance-smart-chain, optimism, arbitrum"
equilibria-finance,equilibria-finance,Equilibria Finance,https://equilibria.fi/,farming,arbitrum
Espresso-Systems,Espresso-Systems,EspressoBot - 2049,https://espressobot.xyz/,,ethereum
essentia,essentia,Essentia,https://essentia.one/,infrastructure,ethereum
etch-market,etch-market,Etch Market,https://www.etch.market/,nft-marketplace,ethereum
eternal-legacy,eternal-legacy,Eternal Legacy,https://eternallegacy.xyz/,,base
ethena,ethena,Ethena,https://www.ethena.fi/,stablecoin,"arbitrum, ethereum, blast"
ether-delta,ether-delta,EtherDelta,https://buycoinnow.com/buy-ethereum/,,ethereum
eas,eas,Ethereum Attestation Service,https://attest.sh/,infrastructure,"ethereum, base, optimism, scroll"
ethereum-credit-guild,ethereum-credit-guild,Ethereum Credit Guild,https://app.creditguild.org/,,arbitrum
ethereum-staking,ethereum-staking,Ethereum Staking,https://ethereum.org/,infrastructure,ethereum
ether-fi,ether-fi,ether.fi,https://ether.fi/,liquid-staking,"ethereum, base, zksync, scroll, arbitrum, blast, linea"
ethscriptions,ethscriptions,Ethscriptions,https://ethscriptions.com/,infrastructure,ethereum
eth-xy,eth-xy,Eth XY,https://ethxy.com/,,"ethereum, base"
euclid,euclid,Euclid,https://euclidfinance.io/home,,ethereum
euler,euler,Euler,https://app.euler.finance/,lending,ethereum
euler-beats,euler-beats,EulerBeats,https://eulerbeats.com/,nft-marketplace,ethereum
evil-pepe,evil-pepe,Evil Pepe,https://evilpepecoin.com/en,,ethereum
exactly,exactly,Exactly,https://app.exact.ly,lending,optimism
excalibur,excalibur,Excalibur,excalibur.exchange,decentralized-exchange,"arbitrum, fantom"
exponential,exponential,Exponential,https://exponential.fi/,yield-aggregator,base
extra,extra,Extra Finance,https://extrafi.io/,"lending, yield-aggregator","optimism, base"
factor,factor,Factor,https://factor.fi/,,arbitrum
fantasy-top,fantasy-top,Fantasy.Top,https://fantasy.top/,,blast
Farcaster,Farcaster,Farcaster,https://www.farcaster.xyz/,,"base, optimism"
farfantasy,farfantasy,FarFantasy,https://farfantasy.com/,,base
farworld,farworld,Farworld,https://farworld.gg/,,
fbomb,fbomb,fBomb,https://mclb.org/fBomb,,"optimism, base"
federated-nouns-governance-pool,federated-nouns-governance-pool,Federated Nouns Governance Pool,https://www.federation.wtf/governance-pools,,ethereum
fei,fei,Fei,https://fei.money/,asset-management,ethereum
fellowship,fellowship,Fellowship,https://fellowship.xyz/,,ethereum
ferdy-flip,ferdy-flip,FerdyFlip,https://x.com/ferdyfishh,lottery,"base, avalanche"
fetch,fetch,Fetch.AI,https://fetch.ai/,,ethereum
fiat24,fiat24,Fiat24,https://app.fiat24.com/login,,arbitrum
firebird-finance,firebird-finance,Firebird Finance,https://firebird.finance/,decentralized-exchange,"arbitrum, ethereum, base, optimism"
fishing-frenzy,fishing-frenzy,Fishing Frenzy,https://fishingfrenzy.co/,,base
fitclub,fitclub,Fit Club,https://www.fitclub.tech/,gaming,base
fixed-forex,fixed-forex,Fixed Forex,https://fixedforex.fi/,stablecoin,ethereum
Flare,Flare,Flare,https://flare.network/,,ethereum
flat-money,flat-money,Flat Money,https://flat.money/,,base
float-protocol,float-protocol,Float,https://floatprotocol.com/,asset-management,ethereum
float-capital,float-capital,Float Capital,https://float.capital/,perpetuals-exchange,"polygon, avalanche"
floki,floki,Floki,https://floki.com/,,ethereum
floor-dao,floor-dao,FloorDAO,https://floor.xyz/,nft-marketplace,ethereum
Flooring-Protocol,Flooring-Protocol,Flooring Protocol,https://fp.io/,,ethereum
flooz,flooz,FLOOZ,https://flooz.xyz/trade,decentralized-exchange,ethereum
florencefinance,florencefinance,Florence Finance,https://www.florence.finance/,lending,arbitrum
fluence,fluence,Fluence,fluence.network,,ethereum
fluidity,fluidity,Fluidity,https://fluidity.money/,,"base, arbitrum"
flux-finance,flux-finance,Flux Finance,https://fluxfinance.com/,"lending, bonds",ethereum
forgotten-runes,forgotten-runes,Forgotten Runes,https://www.forgottenrunes.com/,nft-marketplace,ethereum
foundation,foundation,Foundation,https://foundation.app/,nft-marketplace,"ethereum, base"
frame,frame,Frame,https://frametoken.us/,,base
frax,frax,Frax,https://frax.finance/,asset-management,"ethereum, arbitrum"
frax-lend,frax-lend,Frax Lend,https://frax.finance/,lending,ethereum
frax-swap,frax-swap,Frax Swap,https://frax.finance/,decentralized-exchange,"arbitrum, frax, avalanche, fantom, polygon, ethereum, moonbeam"
frax-v3,frax-v3,Frax V3,https://frax.finance/,asset-management,ethereum
fren-pet,fren-pet,Fren Pet,https://frenpet.xyz/,gaming,base
Frensly,Frensly,Frensly,https://frensly.io/,,base
friend-tech,friend-tech,friend.tech,https://www.friend.tech/,,base
frog-swap,frog-swap,Frogswap,https://frogswap.xyz/,decentralized-exchange,degen
ft-three-three,ft-three-three,FT33 DAO,https://friendtech33.xyz/,,base
ftsx,ftsx,FTSX,https://ftsx.tech/,,base
fuel,fuel,Fuel,https://fuel.network/,infrastructure,ethereum
fuji-finance,fuji-finance,Fuji Finance,https://v1.fuji.finance/#/,,arbitrum
funarcade,funarcade,Funarcade,https://funarcade.io/,,ethereum
fungify,fungify,Fungify,https://fungify.it/,,ethereum
furucombo,furucombo,Furucombo,https://furucombo.app/,"asset-management, fund-manager",polygon
futureswap,futureswap,Futureswap,https://www.futureswap.com/,perpetuals-exchange,ethereum
fxdx-exchange,fxdx-exchange,FXDX Exchange,https://fxdx.exchange/,"decentralized-exchange, perpetuals-exchange",base
fx-protocol,fx-protocol,f(x) protocol,https://fx.aladdin.club/home/,yield-aggregator,ethereum
fyde-treasury-protocol,fyde-treasury-protocol,Fyde Treasury Protocol,https://www.fyde.fi/,,ethereum
gains-network,gains-network,Gains Network,https://gainsnetwork.io/,liquid-staking,"base, arbitrum, polygon"
gala-games,gala-games,Gala Games,https://app.gala.games/,,ethereum
galxe,galxe,Galxe,https://galxe.com/,,"polygon, arbitrum, ethereum, binance-smart-chain"
GameSwift,GameSwift,GameSwift,https://gameswift.io/,,"arbitrum, base"
gamma-strategies,gamma-strategies,Gamma Strategies,https://www.gammastrategies.org/,fund-manager,"arbitrum, polygon, base, celo, linea, ethereum, optimism"
gangster-arena,gangster-arena,Gangster Arena,https://gangsterarena.com/login,,base
gaslitedrop,gaslitedrop,Gaslite Drop,https://drop.gaslite.org/,,"base, ethereum, degen"
Gas-zip,Gas-zip,Gas.zip,https://www.gas.zip/,,"blast, linea, base, ethereum, arbitrum"
gearbox,gearbox,Gearbox,https://gearbox.fi ,"collateralized-debt-position, farming, lending","arbitrum, optimism, ethereum"
geist,geist,Geist,https://geist.finance/,lending,fantom
Gelato,Gelato,Gelato,https://www.gelato.network/,,"base, blast, optimism, arbitrum"
gemini,gemini,Gemini,https://x.com/Gemini,,ethereum
generative-dungeon,generative-dungeon,Generative Dungeon,https://generativedungeon.com/,gaming,ethereum
GenomesDAO,GenomesDAO,GenomesDAO,https://genomes.io/,,arbitrum
ghosdag,ghosdag,GhostDAG,https://www.ghostdag.org/,,ethereum
gibx-swap,gibx-swap,GIBXSwap,https://gibxswap.io/,,binance-smart-chain
gitcoin,gitcoin,Gitcoin,https://www.gitcoin.co/,launchpad,"optimism, arbitrum, shape, ethereum"
glow-labs,glow-labs,Glow Labs,https://glowlabs.org/,,ethereum
glow-swap,glow-swap,GlowSwap,https://app.glowswap.io/,,b2
gmdprotocol,gmdprotocol,GMD Protocol,https://gmdprotocol.com/,"yield-aggregator, staking",arbitrum
gm.io,gm.io,gm.io,https://gm.io/,,base
gm-studio,gm-studio,gm.studio,https://www.gmstudio.art/,,ethereum
gmx,gmx,GMX,https://gmx.io/,margin-trading,"arbitrum, avalanche"
gmx-v2,gmx-v2,GMX V2,https://gmx.io/#/,derivatives,"arbitrum, avalanche"
gnars,gnars,Gnars,https://www.gnars.wtf/,,"ethereum, base"
gnomeland,gnomeland,GnomeLand,https://twitter.com/Gnome0xLand,,optimism
gnosis,gnosis,Gnosis Chain,https://www.gnosis.io/,staking,"ethereum, gnosis"
gogopool,gogopool,GoGoPool,https://www.gogopool.com/,,avalanche
goldfinch,goldfinch,Goldfinch,https://goldfinch.finance/,asset-management,ethereum
goldlink,goldlink,Goldlink,https://www.goldlink.io/,lending,arbitrum
gold-retriever,gold-retriever,Gold Retriever,https://goldretriever.io/,,ethereum
golem-foundation,golem-foundation,Golem Foundation,https://golem.foundation/,,ethereum
gondi,gondi,Gondi,https://www.gondi.xyz/,nft-lending,ethereum
gooch-island,gooch-island,Gooch Island,https://gooch.finance/,nft-marketplace,ethereum
good-blocks,good-blocks,goodblocks,https://goodblocks.io/,,ethereum
good-entry,good-entry,Good Entry,https://goodentry.io/,,arbitrum
govi-dao,govi-dao,Govi DAO,https://github.com/govi-dao/cvi-contracts,,arbitrum
granary-finance,granary-finance,Granary Finance,https://granary.finance/,lending,"base, ethereum, fantom, mode, arbitrum, optimism"
gravita,gravita,Gravita,https://app.gravitaprotocol.com/,lending,"arbitrum, ethereum"
gravity-bridge,gravity-bridge,Gravity Bridge,https://www.gravitybridge.net/,bridge,ethereum
grim,grim,Grim Finance,https://www.grim.finance/,yield-aggregator,fantom
gro,gro,Gro,https://app.gro.xyz/,yield-aggregator,"ethereum, avalanche"
guess-2049,guess-2049,GUESS2049,https://deagent.ai/,,b2
guildfi,guildfi,GuildFi,https://guildfi.com/,,ethereum
guiser,guiser,Guiser,https://guiser-stake.com/,decentralized-exchange,ethereum
gyroscope,gyroscope,Gyroscope,https://gyro.finance/,decentralized-exchange,"polygon, arbitrum, optimism, ethereum"
hakuswap,hakuswap,Hakuswap,https://hakuswap.com/,"decentralized-exchange, farming",avalanche
halofi,halofi,HaloFi,https://app.halofi.me/#/,decentralized-exchange,"polygon, celo, base"
hana-finance,hana-finance,Hana Finance,https://www.hana.finance/,,taiko
handle-fi,handle-fi,handle.fi,https://www.handle.fi/,,arbitrum
handshake,handshake,Handshake,https://www.transient.fun/handshake/feed,,"shape, ethereum, base"
harvest,harvest,Harvest,https://harvest.finance/,yield-aggregator,"arbitrum, polygon, ethereum"
hashflow,hashflow,Hashflow,https://app.hashflow.com/,decentralized-exchange,ethereum
hashverse,hashverse,Hashverse by Hashflow,https://www.hashflow.com/hashverse/home,"gaming, decentralized-exchange",ethereum
hats-finance,hats-finance,Hats.Finance,https://hats.finance/,,ethereum
hector-network,hector-network,Hector Network,https://hector.network/,elastic-finance,"binance-smart-chain, fantom"
hedgefarm,hedgefarm,HedgeFarm,https://www.hedgefarm.finance,yield-aggregator,
hedgey,hedgey,Hedgey,https://hedgey.finance/,,base
hedgy,hedgy,Hedgy Finance,https://app.hedgey.finance/,,"base, ethereum"
hedron,hedron,Hedron,https://hedron.pro/#/,,ethereum
hegic,hegic,Hegic,https://www.hegic.co/,options,"arbitrum, ethereum"
helio,helio,Helio,https://helio.money,collateralized-debt-position,binance-smart-chain
helix,helix,Helix,https://helixbridge.app/,,ethereum
HELLO-Labs,HELLO-Labs,HELLO Labs,https://bridge.hello.one/bridge/getting-started,,ethereum
hercules,hercules,Hercules,https://www.hercules.exchange/,,metis
hermes-protocol,hermes-protocol,Hermes Protocol,https://hermes.maiadao.io/,,metis
heroes-of-mavia,heroes-of-mavia,Heroes of Mavia,https://www.mavia.com/,,ethereum
heroglyphs,heroglyphs,Heroglyphs,https://heroglyphs.com/,,arbitrum
hex,hex,Hex,https://hex.com,,ethereum
hidden-hand,hidden-hand,Hidden Hand,https://hiddenhand.finance/,,"ethereum, arbitrum, optimism"
hifi-finance,hifi-finance,Hifi Finance,https://hifi.finance/,,ethereum
highlight,highlight,Highlight,https://highlight.xyz/,,zero
hipposwap,hipposwap,Hippo Swap,https://hipposwap.finance/,decentralized-exchange,scroll
hi-pvp,hi-pvp,HiPvP,https://www.hipvpgame.xyz/,gaming,ethereum
hmx,hmx,HMX,https://hmx.org/arbitrum,perpetuals-exchange,arbitrum
hold-station,hold-station,Holdstation,https://holdstation.com/,,zksync
hollywood-x-pepe,hollywood-x-pepe,Hollywood X Pepe,https://hollywoodxpepe.com/,,ethereum
Holograph,Holograph,Holograph,https://www.holograph.xyz/,,"optimism, arbitrum"
holonym,holonym,Holonym,https://holonym.id/#horizon,,optimism
homora-v2,homora-v2,Homora V2,https://homora-v2.alphaventuredao.io/,"cross-chain, farming, lending","fantom, optimism, ethereum, avalanche"
honeyswap,honeyswap,Honeyswap,https://honeyswap.org/,"liquidity-pool, liquid-staking",gnosis
honorworld,honorworld,Honor World,https://app.honorworld.io/,gaming,arbitrum
hooked,hooked,Hooked,https://hooked.io/,,opbnb
hop,hop,Hop,https://hop.exchange/,bridge,"ethereum, polygon, optimism, gnosis, base, arbitrum"
Hope-money,Hope-money,Hope.money,https://hope.money/,,ethereum
hopr,hopr,Hopr,https://hoprnet.org/,,gnosis
horizon-dex,horizon-dex,HorizonDEX,https://app.horizondex.io/swap,decentralized-exchange,base
house-money,house-money,House Money,https://www.housemoney.app/,,ethereum
hummus-exchange,hummus-exchange,Hummus Exchange,https://www.hummus.exchange/,,
hundred-finance,hundred-finance,Hundred Finance,https://hundred.finance/,lending,"polygon, optimism, gnosis, fantom, ethereum"
hunny-play,hunny-play,Hunny Play,https://hunnyplay.io/,gaming,ethereum
hunt-town,hunt-town,Hunt Town,https://hunt.town/,,
hurricaneswap,hurricaneswap,HurricaneSwap,https://hurricaneswap.com/#/,,
hv-mtl-forge,hv-mtl-forge,HV-MTL Forge,https://hv-mtl.com/,,ethereum
hyperjump,hyperjump,HyperJump,https://x.com/Hyperjump_fi,,binance-smart-chain
hyperlane,hyperlane,Hyperlane,https://www.hyperlane.xyz/,,"worldchain, arbitrum"
hyperliquid,hyperliquid,Hyperliquid,https://hyperliquid.xyz/,,arbitrum
hyperlock-finance,hyperlock-finance,Hyperlock Finance,https://hyperlock.finance/,yield-aggregator,blast
hypersub,hypersub,Hypersub,https://www.hypersub.xyz/,,base
ice-cream-swap,ice-cream-swap,IceCreamSwap,https://icecreamswap.com/?chain=core,decentralized-exchange,blast
ichi,ichi,Ichi,https://www.ichi.org/,,polygon
icosa,icosa,Icosa,icosa.pro,,ethereum
idle,idle,Idle,https://idle.finance/,perpetuals-exchange,ethereum
igames,igames,iGameS,https://twitter.com/igamesbrands,gaming,arbitrum
illuvium,illuvium,Illuvium,https://www.illuvium.io/,gaming,ethereum
imaginary-rides,imaginary-rides,Imaginary Rides,https://rides.imaginaryones.com/,gaming,ethereum
imgnai,imgnai,imgnAI,https://app.imgnai.com/,,ethereum
immutable-x-bridge,immutable-x-bridge,Immutable X Bridge,https://www.immutable.com/,"bridge, gaming",ethereum
impermax,impermax,Impermax,https://www.impermax.finance/,lending,"base, polygon, ethereum, arbitrum"
impossible-finance,impossible-finance,Impossible Finance,https://impossible.finance/,liquidity-pool,"binance-smart-chain, arbitrum"
inception,inception,Inception,https://www.inceptionlrt.com/,,ethereum
index-coop,index-coop,Index Coop,https://www.indexcoop.com/,asset-management,"ethereum, arbitrum"
indexed,indexed,Indexed,https://indexed.finance/,fund-manager,ethereum
Infinex,Infinex,Infinex,https://infinex.io/,,optimism
infinity,infinity,Infinity,https://infinity.vv.xyz/,nft-marketplace,ethereum
Influence,Influence,Influence,https://www.influenceth.io/,,ethereum
infusion,infusion,Infusion,https://infusion.finance/,,base
init-capital,init-capital,INIT Capital,https://init.capital/,,blast
Injective,Injective,Injective,https://injective.com/,,ethereum
insrt,insrt,insrt,https://app.insrt.fun/mint,,"arbitrum, blast"
instadapp,instadapp,Instadapp,https://instadapp.io/,asset-management,"polygon, base, ethereum, arbitrum"
insurace,insurace,InsurAce,https://insurace.io/,insurance,"binance-smart-chain, ethereum, polygon, avalanche"
intentx,intentx,IntentX,https://intentx.io/,,base
interport,interport,Interport Finance,https://interport.fi/,"decentralized-exchange, cross-chain","ethereum, optimism, base"
inverse,inverse,Inverse Finance,https://www.inverse.finance/,"yield-aggregator, lending",ethereum
inverse-firm,inverse-firm,Inverse Finance - FiRM,https://www.inverse.finance/firm,"yield-aggregator, lending",ethereum
ionic-protocol,ionic-protocol,Ionic Protcool,https://www.ionic.money/,,"optimism, mode, base"
ipor-protocol,ipor-protocol,IPOR Protocol,https://www.ipor.io/,derivatives,ethereum
iq,iq,IQ,https://iq.wiki/,staking,ethereum
iron,iron,Iron,https://iron.finance/,elastic-finance,polygon
iron-bank,iron-bank,Iron Bank,https://app.ib.xyz/,lending,"avalanche, optimism, ethereum, fantom"
ironclad-protocol,ironclad-protocol,Ironclad Protocol,https://www.ironclad.finance/,,mode
iso-shares-v1,iso-shares-v1,iso3166SharesV1,https://etherscan.io/address/0xb72749a16410db6b3feac000a5a90c2f6cf7935e,,ethereum
izumi,izumi,iZUMi,https://izumi.finance/home,decentralized-exchange,"bob, taiko, mode, base, scroll, mantle, arbitrum, linea, polygon, blast, binance-smart-chain"
jade-protocol,jade-protocol,Jade Protocol,https://www.jadeprotocol.io/,,arbitrum
jarvis,jarvis,Jarvis,https://jarvis.network/,synthetics,"base, polygon, optimism"
jaypeggers,jaypeggers,Jaypeggers,https://jaypeggers.com/,nft-marketplace,ethereum
jeeves,jeeves,Jeeves,https://app.degenjeeves.com/,,degen
jelly-beans,jelly-beans,Jelly Beans,https://jellybeans.wtf/,,optimism
jetswap,jetswap,JetSwap,https://jetswap.finance/,,binance-smart-chain
jojo-exchange,jojo-exchange,JOJO Exchange,https://jojo.exchange/,,"arbitrum, base"
joke-race,joke-race,JokeRace,https://jokerace.io/,,"optimism, base"
jones-dao,jones-dao,Jones Dao,https://jonesdao.io/,"derivatives, options","ethereum, arbitrum"
j-page,j-page,J.Page,https://j.page/,infrastructure,ethereum
jpegd,jpegd,Jpegd,https://jpegd.io/,collateralized-debt-position,ethereum
juicebox,juicebox,Juicebox,https://juicebox.money/,,ethereum
juiced,juiced,Juiced,https://juiced.app/,yield-aggregator,
juice-finance,juice-finance,Juice Finance,https://www.juice.finance/,lending,blast
julswap-x,julswap-x,JulSwap X,https://julswap.com/#/swap,,binance-smart-chain
kaiju-kingz,kaiju-kingz,KaijuKingz,https://kaijukingz.io,nft-marketplace,ethereum
karak,karak,Karak,https://karak.network/,,"arbitrum, mantle, ethereum"
kassandra,kassandra,Kassandra DAO,https://kassandra.finance/,,avalanche
keekusaur,keekusaur,Keekusaurs,https://www.gmcafe.io/,,ethereum
keeper,keeper,Keep3r,https://keep3r.network/,"bonds, infrastructure",ethereum
keep-network,keep-network,Keep Network,https://keep.network/,fund-manager,ethereum
kelp,kelp,Kelp,https://kelpdao.xyz/,liquid-staking,"ethereum, linea, optimism, blast, arbitrum, scroll"
keungz,keungz,Keungz,https://keungz.com/,gaming,ethereum
